300 3
21 18 16 
22 2 1
1 5 2
19 23 3
14 16 1
0 3 1
18 21 2
19 21 1
6 9 3
23 2 2
0 1 2
21 0 3
22 23 1
20 22 2
22 1 2
0 5 2
17 21 3
14 18 3
8 10 2
22 1 3
19 22 3
12 14 1
23 4 2
2 6 1
13 16 2
7 9 3
1 4 1
6 9 2
5 9 1
7 10 1
8 11 1
13 15 1
21 23 3
19 23 2
8 12 1
15 17 2
3 6 1
12 13 3
16 20 2
2 7 3
13 15 2
6 11 1
7 11 3
1 3 2
14 16 3
4 7 2
18 20 3
12 13 3
20 1 1
18 21 3
2 5 1
12 16 3
8 11 1
1 4 2
16 18 1
11 13 3
14 17 1
8 10 3
12 16 2
6 9 3
11 14 3
6 10 3
23 2 1
8 11 2
19 22 1
10 12 3
9 11 3
6 8 3
17 19 3
9 11 2
13 16 3
11 15 3
8 11 2
22 3 3
0 3 2
20 22 2
2 5 2
4 5 3
3 6 3
12 15 2
9 12 3
13 16 1
16 17 2
17 19 1
11 14 2
6 9 2
17 19 3
5 8 2
2 4 3
12 16 1
10 13 1
16 19 2
17 20 1
1 2 1
14 17 3
1 4 1
2 6 2
8 12 2
12 14 1
14 17 1
7 11 2
17 20 3
22 1 1
18 23 2
5 7 1
12 16 2
21 1 2
9 12 2
4 7 1
3 5 2
9 13 3
17 19 1
3 5 3
16 18 2
13 14 1
20 21 2
22 0 1
10 14 2
7 10 3
2 4 1
7 11 3
14 18 1
21 1 2
15 18 3
15 17 1
2 4 1
11 14 3
16 21 3
1 5 1
4 8 1
6 11 2
3 4 2
15 17 3
5 7 3
2 5 1
4 8 2
9 14 1
14 16 3
12 14 1
4 8 3
22 3 3
16 19 2
22 2 1
3 6 2
8 9 2
21 23 1
4 7 1
23 4 3
2 5 3
20 0 3
21 23 1
12 15 2
21 0 2
2 4 1
1 4 1
13 15 1
12 16 1
10 13 3
23 1 2
3 8 1
11 15 3
22 23 1
23 3 2
5 8 2
18 20 2
9 9 3
10 12 2
19 22 3
21 0 2
13 16 1
12 15 2
9 10 3
22 1 2
22 1 2
7 11 3
0 5 1
0 2 3
20 22 1
11 13 1
14 16 2
23 3 3
7 10 2
18 22 2
11 14 2
10 13 3
6 9 1
22 2 2
0 3 1
4 5 2
11 14 2
23 0 3
23 1 3
4 8 3
16 19 3
3 5 2
9 11 1
17 20 1
16 20 3
20 21 2
7 11 1
3 5 1
12 15 2
14 18 2
20 0 3
6 10 1
12 15 2
15 17 3
9 12 2
4 7 3
10 12 1
5 7 3
8 11 2
12 14 2
9 14 3
23 0 2
8 11 2
11 14 2
14 16 2
1 6 3
22 3 3
11 15 3
9 12 1
13 16 2
10 14 3
15 18 3
18 21 3
22 2 3
12 14 1
20 23 3
6 9 1
4 6 2
8 12 1
10 13 1
13 18 2
11 15 3
5 9 2
12 16 2
6 8 1
17 19 3
17 20 3
8 11 2
5 8 3
1 4 1
22 2 3
21 1 2
21 1 1
10 12 3
9 11 2
23 2 3
18 21 1
5 7 2
10 14 1
15 18 3
9 11 3
2 4 2
2 4 3
21 0 3
18 21 3
6 10 3
18 21 3
5 10 1
2 4 1
17 19 2
16 20 1
0 4 2
17 22 3
6 8 2
0 3 2
11 13 2
8 12 2
14 17 2
1 4 3
0 5 1
4 7 2
14 15 2
0 3 2
17 20 1
5 7 3
8 11 3
23 2 2
12 16 3
19 22 1
7 8 1
23 3 3
1 4 1
0 4 3
19 22 3
23 3 2
4 8 2
22 2 1
11 15 1
22 1 3
9 11 3
20 22 3
5 6 1
15 20 1
7 11 2
21 0 3
20 23 2
15 17 2
10 12 1
