800 2
8 13 
3 5 2
0 3 1
7 9 2
12 14 1
6 9 2
7 9 2
15 19 2
20 0 2
14 16 2
10 14 2
22 2 2
7 10 1
18 19 2
7 9 2
15 17 2
13 15 2
13 16 2
10 13 2
19 22 1
7 10 2
6 8 1
3 6 2
10 12 2
4 6 2
11 12 1
22 1 1
22 0 1
10 15 1
19 21 1
23 3 2
11 14 1
22 1 2
16 18 1
10 14 2
8 12 2
1 3 1
23 2 2
8 10 2
8 10 2
5 8 1
20 23 2
20 22 1
8 9 1
20 23 1
9 12 1
21 23 2
17 20 2
12 15 1
10 13 1
8 9 1
9 13 2
12 16 2
18 21 2
11 15 2
3 6 2
13 16 1
23 1 2
19 20 1
18 21 1
1 4 2
0 4 1
15 18 1
14 18 1
22 1 1
11 13 2
13 18 1
0 5 2
13 16 2
18 21 1
16 18 1
19 21 1
21 0 1
11 12 2
0 2 1
14 17 1
22 1 1
4 7 2
13 17 1
23 2 2
0 2 1
18 21 2
2 4 1
6 9 2
16 19 2
7 10 2
2 7 1
6 9 1
15 18 1
23 3 1
9 10 2
6 9 2
10 12 1
13 18 1
21 23 1
21 0 2
13 17 1
0 1 1
7 10 2
1 4 2
8 12 2
3 5 1
2 5 1
10 13 2
23 2 2
11 15 2
3 6 1
23 2 2
23 2 1
0 3 2
15 19 2
22 2 2
1 5 2
4 6 1
12 15 2
23 23 1
19 21 1
15 16 1
1 4 1
7 10 2
15 17 2
6 9 2
12 14 1
18 19 2
23 3 1
6 8 1
10 13 1
15 19 1
21 0 2
3 7 1
15 18 2
17 19 2
22 2 2
14 17 2
4 6 1
16 22 1
5 7 2
5 9 2
18 22 1
19 21 1
14 17 1
14 17 1
3 7 2
9 12 1
8 11 1
14 17 1
6 9 2
6 11 2
15 18 2
5 8 1
13 15 2
15 18 2
6 9 2
0 2 2
1 3 1
10 11 1
19 22 1
11 15 2
17 19 2
16 19 1
3 7 1
14 15 2
17 19 1
14 17 2
19 22 2
17 20 2
11 14 1
22 23 2
20 23 2
14 17 2
3 6 2
21 1 2
1 3 1
16 17 2
9 12 1
23 2 1
1 5 1
8 11 1
17 20 2
14 16 1
3 6 1
10 13 1
23 2 1
9 10 2
13 17 2
6 9 2
19 21 2
20 23 2
16 19 2
19 21 1
6 9 1
22 0 1
10 11 1
23 1 2
7 11 2
5 8 1
17 20 2
15 17 1
12 15 2
4 7 2
2 5 2
23 3 2
20 23 1
2 5 2
12 15 2
20 23 2
20 22 1
17 21 1
15 19 1
21 22 2
9 10 1
7 10 2
3 6 2
7 11 1
20 23 2
18 21 2
19 22 1
13 16 2
8 13 2
8 10 1
14 16 1
22 1 1
16 19 1
15 19 1
10 12 1
5 8 2
2 4 1
16 19 2
6 10 1
8 10 1
1 5 1
21 0 1
2 4 2
13 16 2
12 15 1
12 14 1
8 11 1
15 18 2
8 11 2
18 22 1
0 3 1
8 9 1
17 18 1
6 9 1
4 7 1
21 23 2
18 20 2
1 3 1
7 9 2
10 14 2
12 16 2
17 20 1
8 11 2
0 2 2
12 16 2
1 4 2
21 2 1
16 19 2
23 2 1
2 5 1
20 0 1
10 14 2
1 5 1
15 17 2
14 17 1
23 3 1
21 23 1
9 13 1
11 14 2
21 2 2
18 22 2
23 3 1
14 17 2
17 19 1
6 11 2
3 7 1
13 15 1
2 4 2
6 9 1
1 5 1
16 19 2
9 12 2
23 1 2
16 19 1
8 11 1
1 4 1
17 19 2
5 8 1
2 5 2
3 6 1
5 8 2
2 5 2
4 7 1
6 9 1
8 12 1
12 14 2
3 6 2
16 19 1
5 8 2
20 0 1
6 8 2
17 20 2
1 4 2
7 11 1
2 7 1
18 19 2
4 6 1
22 0 2
5 9 1
2 5 1
8 10 2
13 18 1
1 2 1
7 11 1
22 2 1
13 15 1
14 17 2
13 15 1
11 15 2
1 3 2
13 16 1
20 23 2
11 13 1
6 9 2
22 0 2
3 6 2
23 1 2
2 4 2
10 13 2
13 16 1
17 20 1
14 19 1
11 14 2
17 18 2
0 2 1
7 11 1
21 0 2
2 3 2
22 1 2
6 10 1
21 0 2
4 8 2
19 0 1
2 5 1
22 1 2
3 6 2
10 13 2
23 3 2
15 19 1
8 10 2
17 20 1
9 14 2
17 19 2
1 3 2
11 15 1
20 22 2
12 16 2
6 9 1
23 2 2
21 2 2
21 1 1
12 16 1
5 8 1
22 0 1
22 0 2
9 10 1
9 13 2
16 19 1
12 14 2
17 21 1
0 3 1
2 4 2
13 17 1
4 7 2
17 22 1
21 23 2
20 23 2
20 22 2
5 8 2
18 21 1
23 2 1
6 9 2
9 12 1
19 20 2
15 18 1
11 15 1
8 12 1
16 19 1
11 15 2
13 17 2
4 7 2
4 7 2
6 9 1
0 3 2
9 12 1
9 10 1
2 6 1
2 5 2
17 21 1
1 4 1
8 11 1
4 8 1
5 9 2
2 5 2
9 13 1
7 10 2
3 5 1
13 15 2
20 0 1
20 23 2
11 15 1
4 8 2
9 11 2
9 12 2
13 16 2
5 10 2
22 0 2
14 18 1
14 18 2
2 3 1
21 0 2
18 21 2
14 18 1
13 17 2
14 17 2
12 16 2
21 23 1
19 23 1
5 9 2
23 3 2
23 0 2
0 4 2
8 11 2
18 20 1
2 6 2
22 1 1
20 0 1
15 18 1
4 6 1
16 20 2
23 2 2
1 5 1
8 11 1
6 8 2
23 4 2
11 14 1
7 10 1
2 6 2
8 12 2
12 16 2
21 0 2
13 17 2
10 12 2
14 17 1
5 9 2
6 8 2
5 9 1
3 7 1
2 7 1
16 19 2
18 20 1
2 6 1
22 1 1
21 23 2
22 0 1
14 17 1
23 1 1
16 20 1
9 12 2
13 16 1
18 21 1
3 5 2
10 11 2
16 18 1
16 18 1
5 8 2
18 21 1
14 16 1
8 11 1
17 21 2
8 12 2
12 15 1
20 0 2
14 15 2
5 9 1
15 17 2
11 15 1
10 14 2
1 4 1
2 5 2
14 15 2
0 3 2
1 4 1
9 12 1
0 3 2
2 5 2
9 14 2
2 5 2
21 23 1
22 1 2
21 23 2
11 15 2
19 21 2
0 4 2
6 8 2
12 15 2
0 3 2
13 15 1
4 8 1
5 8 2
13 15 2
16 21 2
3 7 1
2 4 2
1 3 2
21 0 1
8 11 2
4 7 1
10 15 1
13 16 1
17 20 2
22 1 2
18 21 2
9 11 2
23 1 2
22 22 2
4 6 1
20 0 1
18 20 1
13 15 1
3 4 1
15 19 1
12 16 2
16 18 2
2 6 2
10 14 1
20 23 1
11 15 2
2 7 1
6 8 2
18 21 2
11 14 1
5 8 2
17 22 2
18 22 1
21 22 1
17 20 2
14 18 2
20 23 1
16 18 2
20 23 2
13 15 1
21 0 1
1 3 1
12 15 1
19 0 2
18 22 2
13 16 1
15 17 2
10 13 2
8 10 1
6 11 2
4 6 2
15 17 1
4 7 2
10 14 1
20 23 2
18 21 2
19 21 2
1 6 1
23 2 1
23 0 2
5 9 1
8 11 1
5 9 2
5 8 1
23 23 1
20 23 2
8 11 1
1 4 2
0 3 2
17 21 2
10 13 1
0 5 2
14 16 2
9 12 1
8 11 1
6 9 1
11 14 1
8 10 1
12 16 2
11 14 1
11 15 1
1 5 1
15 18 1
18 21 2
13 15 1
21 1 2
5 8 1
14 17 2
7 9 1
8 11 2
1 1 1
18 19 2
20 22 2
19 22 1
6 7 2
0 4 1
17 19 2
3 7 2
5 8 2
9 13 2
19 22 1
3 4 1
19 23 1
1 4 2
21 0 1
16 19 2
22 1 1
13 14 2
11 14 2
3 5 1
19 21 1
17 22 1
0 2 2
1 4 1
23 2 2
1 2 2
13 17 1
20 23 1
19 23 1
18 20 1
0 1 1
11 14 1
22 2 1
15 19 1
0 3 1
6 9 2
16 19 2
22 3 2
22 1 1
2 6 1
13 16 2
1 5 2
8 11 2
4 8 1
12 15 2
11 14 1
1 6 1
17 19 2
1 4 1
10 13 2
18 21 1
17 21 2
5 7 1
13 16 1
11 16 2
0 3 2
2 5 2
11 13 1
12 14 1
20 0 1
19 22 2
11 14 1
20 23 2
9 13 2
3 7 1
21 1 1
6 8 2
2 4 1
10 11 2
16 19 1
13 15 1
1 3 1
7 9 2
16 19 1
15 20 1
2 3 2
19 21 2
11 14 2
8 11 1
4 8 1
0 2 1
6 8 2
23 2 1
8 11 1
10 14 2
23 2 1
1 5 1
0 3 1
12 13 1
12 16 1
5 9 2
12 16 1
19 20 1
15 18 2
9 11 1
17 20 1
14 18 2
15 16 1
22 0 2
16 19 2
5 8 1
13 13 1
3 8 2
19 0 1
19 0 2
12 14 1
9 12 2
5 9 2
3 7 1
12 16 1
6 9 1
14 16 1
14 17 2
11 16 2
23 2 1
21 0 1
6 9 1
10 12 2
11 15 1
17 20 2
7 10 1
23 2 1
5 9 1
10 15 1
21 23 2
20 22 2
10 13 1
3 6 1
19 22 2
19 23 2
15 18 2
14 19 2
13 16 1
22 0 1
11 14 2
8 11 1
15 20 1
12 15 1
0 3 2
9 9 1
19 22 2
9 10 1
21 0 2
23 1 1
23 1 2
11 13 1
9 10 1
21 1 1
18 22 1
22 1 2
19 22 1
15 19 2
19 23 1
20 0 1
23 1 1
21 23 1
16 21 2
2 4 1
4 8 2
17 20 2
20 22 1
15 18 1
17 20 2
7 9 2
20 0 1
10 12 1
17 20 2
20 22 2
23 1 2
10 13 2
5 7 1
20 23 2
16 21 1
11 15 1
7 10 2
18 22 2
13 16 2
0 3 2
1 4 1
9 12 2
23 1 1
3 6 1
20 22 2
4 6 2
21 0 1
11 13 2
7 9 2
17 20 2
2 6 2
0 4 2
14 18 2
4 6 1
9 13 1
12 13 1
8 11 2
4 8 2
17 21 2
8 11 2
0 3 1
